TIME,CODE,DATA
0.0008661746978759766,DATA_LOGGING,True
0.013527154922485352,STATE,"{'sequence_executing': None, 'arming_switch': False, 'manual_switch': False, 'current_sequence': [], 'sequence_running': False, 'data_logging': True, 'aborting': False, 'time': 1630851354248, 'LOX': {'digital': {14: True, 12: False, 10: False, 8: False, 19: False, 17: False}, 'analog': {1: -0.9601773124423685, 3: 0.6536269360487343}}, 'ETH': {'digital': {16: False, 18: False, 9: False, 11: False, 13: False, 15: False}, 'analog': {1: -0.28367738185121505, 3: 0.989994598288485}}}"
0.03589797019958496,STATE,"{'sequence_executing': None, 'arming_switch': False, 'manual_switch': False, 'current_sequence': [], 'sequence_running': False, 'data_logging': True, 'aborting': False, 'time': 1630851354270, 'LOX': {'digital': {14: True, 12: False, 10: False, 8: False, 19: False, 17: False}, 'analog': {1: -0.9538816644140622, 3: 0.6699126720029529}}, 'ETH': {'digital': {16: False, 18: False, 9: False, 11: False, 13: False, 15: False}, 'analog': {1: -0.2627807552975906, 3: 0.9866960688184886}}}"
0.059861183166503906,STATE,"{'sequence_executing': None, 'arming_switch': False, 'manual_switch': False, 'current_sequence': [], 'sequence_running': False, 'data_logging': True, 'aborting': False, 'time': 1630851354293, 'LOX': {'digital': {14: True, 12: False, 10: False, 8: False, 19: False, 17: False}, 'analog': {1: -0.9469085138667779, 3: 0.6863977308507384}}, 'ETH': {'digital': {16: False, 18: False, 9: False, 11: False, 13: False, 15: False}, 'analog': {1: -0.24106879825316063, 3: 0.982800251194178}}}"
0.08330512046813965,STATE,"{'sequence_executing': None, 'arming_switch': False, 'manual_switch': False, 'current_sequence': [], 'sequence_running': False, 'data_logging': True, 'aborting': False, 'time': 1630851354317, 'LOX': {'digital': {14: True, 12: False, 10: False, 8: False, 19: False, 17: False}, 'analog': {1: -0.9389525016991319, 3: 0.7035850149044942}}, 'ETH': {'digital': {16: False, 18: False, 9: False, 11: False, 13: False, 15: False}, 'analog': {1: -0.21780512450310474, 3: 0.9781059329272036}}}"
0.10499405860900879,STATE,"{'sequence_executing': None, 'arming_switch': False, 'manual_switch': False, 'current_sequence': [], 'sequence_running': False, 'data_logging': True, 'aborting': False, 'time': 1630851354340, 'LOX': {'digital': {14: True, 12: False, 10: False, 8: False, 19: False, 17: False}, 'analog': {1: -0.9306249581469727, 3: 0.7200579402576486}}, 'ETH': {'digital': {16: False, 18: False, 9: False, 11: False, 13: False, 15: False}, 'analog': {1: -0.19485434028569532, 3: 0.9729559840473679}}}"
0.13093996047973633,STATE,"{'sequence_executing': None, 'arming_switch': False, 'manual_switch': False, 'current_sequence': [], 'sequence_running': False, 'data_logging': True, 'aborting': False, 'time': 1630851354362, 'LOX': {'digital': {14: True, 12: False, 10: False, 8: False, 19: False, 17: False}, 'analog': {1: -0.9224726051762719, 3: 0.7349318418360966}}, 'ETH': {'digital': {16: False, 18: False, 9: False, 11: False, 13: False, 15: False}, 'analog': {1: -0.17354683211054608, 3: 0.9677203651235061}}}"
0.15150117874145508,STATE,"{'sequence_executing': None, 'arming_switch': False, 'manual_switch': False, 'current_sequence': [], 'sequence_running': False, 'data_logging': True, 'aborting': False, 'time': 1630851354388, 'LOX': {'digital': {14: True, 12: False, 10: False, 8: False, 19: False, 17: False}, 'analog': {1: -0.9121149397606585, 3: 0.7523288499124022}}, 'ETH': {'digital': {16: False, 18: False, 9: False, 11: False, 13: False, 15: False}, 'analog': {1: -0.14785798436528425, 3: 0.960833345819665}}}"
0.17286205291748047,STATE,"{'sequence_executing': None, 'arming_switch': False, 'manual_switch': False, 'current_sequence': [], 'sequence_running': False, 'data_logging': True, 'aborting': False, 'time': 1630851354408, 'LOX': {'digital': {14: True, 12: False, 10: False, 8: False, 19: False, 17: False}, 'analog': {1: -0.9035175857891102, 3: 0.7656789270521243}}, 'ETH': {'digital': {16: False, 18: False, 9: False, 11: False, 13: False, 15: False}, 'analog': {1: -0.1275485129741785, 3: 0.9549492154238044}}}"
0.19448304176330566,STATE,"{'sequence_executing': None, 'arming_switch': False, 'manual_switch': False, 'current_sequence': [], 'sequence_running': False, 'data_logging': True, 'aborting': False, 'time': 1630851354430, 'LOX': {'digital': {14: True, 12: False, 10: False, 8: False, 19: False, 17: False}, 'analog': {1: -0.8941275073509865, 3: 0.7792855924870034}}, 'ETH': {'digital': {16: False, 18: False, 9: False, 11: False, 13: False, 15: False}, 'analog': {1: -0.10626800417264164, 3: 0.9483713431052501}}}"
